******HUMAN TURN******

******HUMAN RESULT******
RACK : U*OTPRN

HUMAN MOVE : torn , new tiles : otrn , score : 8 , direction : 1 , col : 11 , row : 7


******COMPUTER TURN******
RACK : u*jxqse

word : ea anchor( col :  11 row : 8 ) score : 1 new tiles : a    Heuristic : -7.5
word : ed anchor( col :  11 row : 8 ) score : 1 new tiles : d    Heuristic : -7.5
word : ee anchor( col :  11 row : 8 ) score : 2 new tiles : e    Heuristic : -6.5
word : ef anchor( col :  11 row : 8 ) score : 1 new tiles : f    Heuristic : -7.5
word : eh anchor( col :  11 row : 8 ) score : 1 new tiles : h    Heuristic : -7.5
word : el anchor( col :  11 row : 8 ) score : 1 new tiles : l    Heuristic : -7.5
word : em anchor( col :  11 row : 8 ) score : 1 new tiles : m    Heuristic : -7.5
word : en anchor( col :  11 row : 8 ) score : 1 new tiles : n    Heuristic : -7.5
word : er anchor( col :  11 row : 8 ) score : 1 new tiles : r    Heuristic : -7.5
word : es anchor( col :  11 row : 8 ) score : 2 new tiles : s    Heuristic : -6.5
word : et anchor( col :  11 row : 8 ) score : 1 new tiles : t    Heuristic : -7.5
word : ex anchor( col :  11 row : 8 ) score : 9 new tiles : x    Heuristic : 0.5
word : ex anchor( col :  11 row : 8 ) score : 9 new tiles : x    Heuristic : 29.5
word : es anchor( col :  11 row : 8 ) score : 2 new tiles : s    Heuristic : 11.5
word : ee anchor( col :  11 row : 8 ) score : 2 new tiles : e    Heuristic : 12
word : ug anchor( col :  9 row : 9 ) score : 5 new tiles : u    Heuristic : 22
word : ag anchor( col :  9 row : 9 ) score : 2 new tiles : a    Heuristic : -6.5
word : ug anchor( col :  9 row : 9 ) score : 5 new tiles : u    Heuristic : -3.5
word : gu anchor( col :  11 row : 9 ) score : 3 new tiles : u    Heuristic : 20
word : gi anchor( col :  11 row : 9 ) score : 2 new tiles : i    Heuristic : -6.5
word : go anchor( col :  11 row : 9 ) score : 2 new tiles : o    Heuristic : -6.5
word : gu anchor( col :  11 row : 9 ) score : 3 new tiles : u    Heuristic : -5.5
word : negs anchor( col :  10 row : 10 ) score : 10 new tiles : s    Heuristic : 1.5
word : negs anchor( col :  10 row : 10 ) score : 10 new tiles : s    Heuristic : 19.5
