******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : hifycrq

word : riff anchor( col :  4 row : 6 ) score : 10 new tiles : rif    Heuristic : -6.5
word : iff anchor( col :  4 row : 6 ) score : 9 new tiles : if    Heuristic : -7
word : iffy anchor( col :  4 row : 6 ) score : 13 new tiles : ify    Heuristic : 0
word : iff anchor( col :  4 row : 6 ) score : 9 new tiles : if    Heuristic : -7
word : riff anchor( col :  4 row : 6 ) score : 20 new tiles : rif    Heuristic : 3.5
word : iffy anchor( col :  4 row : 6 ) score : 13 new tiles : ify    Heuristic : 0
word : hi anchor( col :  5 row : 6 ) score : 5 new tiles : h    Heuristic : -12
word : chi anchor( col :  5 row : 6 ) score : 14 new tiles : ch    Heuristic : -1.5
word : hic anchor( col :  5 row : 6 ) score : 8 new tiles : hc    Heuristic : -7.5
word : fir anchor( col :  5 row : 6 ) score : 6 new tiles : fr    Heuristic : -9
word : fiqh anchor( col :  5 row : 6 ) score : 27 new tiles : fqh    Heuristic : 25.5
word : rif anchor( col :  5 row : 6 ) score : 6 new tiles : rf    Heuristic : -9
word : rich anchor( col :  5 row : 6 ) score : 17 new tiles : rch    Heuristic : 1
word : ricy anchor( col :  5 row : 6 ) score : 17 new tiles : rcy    Heuristic : 3.5
word : qi anchor( col :  5 row : 6 ) score : 11 new tiles : q    Heuristic : 6
word : fiqh anchor( col :  6 row : 6 ) score : 24 new tiles : fih    Heuristic : 8.5
word : ch anchor( col :  7 row : 6 ) score : 18 new tiles : ch    Heuristic : 2.5
word : chi anchor( col :  7 row : 6 ) score : 19 new tiles : chi    Heuristic : 2
word : cry anchor( col :  7 row : 6 ) score : 16 new tiles : cry    Heuristic : 2.5
word : ch anchor( col :  7 row : 6 ) score : 7 new tiles : c    Heuristic : -9
word : ich anchor( col :  7 row : 6 ) score : 8 new tiles : ic    Heuristic : -9.5
word : rich anchor( col :  7 row : 6 ) score : 9 new tiles : ric    Heuristic : -9
word : chi anchor( col :  7 row : 6 ) score : 8 new tiles : ci    Heuristic : -9.5
word : rhy anchor( col :  7 row : 6 ) score : 9 new tiles : ry    Heuristic : -6
word : fiqh anchor( col :  7 row : 6 ) score : 19 new tiles : fiq    Heuristic : 15.5
word : rhy anchor( col :  4 row : 8 ) score : 18 new tiles : rhy    Heuristic : 3.5
word : fy anchor( col :  4 row : 8 ) score : 16 new tiles : fy    Heuristic : 4.5
word : icy anchor( col :  4 row : 8 ) score : 17 new tiles : icy    Heuristic : 2.5
word : ricy anchor( col :  4 row : 8 ) score : 18 new tiles : ricy    Heuristic : 3
word : fry anchor( col :  4 row : 8 ) score : 21 new tiles : fry    Heuristic : 9
word : cry anchor( col :  4 row : 8 ) score : 19 new tiles : cry    Heuristic : 5.5
word : fir anchor( col :  4 row : 8 ) score : 6 new tiles : ir    Heuristic : -13.5
word : fiqh anchor( col :  4 row : 8 ) score : 38 new tiles : iqh    Heuristic : 32
word : fy anchor( col :  4 row : 8 ) score : 8 new tiles : y    Heuristic : -6.5
word : fry anchor( col :  4 row : 8 ) score : 9 new tiles : ry    Heuristic : -6
word : if anchor( col :  5 row : 8 ) score : 5 new tiles : f    Heuristic : -9.5
word : ich anchor( col :  5 row : 8 ) score : 16 new tiles : ch    Heuristic : 0.5
word : icy anchor( col :  5 row : 8 ) score : 16 new tiles : cy    Heuristic : 3
word : qi anchor( col :  6 row : 8 ) score : 12 new tiles : i    Heuristic : -7
word : if anchor( col :  7 row : 8 ) score : 14 new tiles : if    Heuristic : -2
word : ich anchor( col :  7 row : 8 ) score : 16 new tiles : ich    Heuristic : -1
word : icy anchor( col :  7 row : 8 ) score : 16 new tiles : icy    Heuristic : 1.5
word : hi anchor( col :  7 row : 8 ) score : 5 new tiles : i    Heuristic : -14
word : hic anchor( col :  7 row : 8 ) score : 8 new tiles : ic    Heuristic : -9.5
word : gi anchor( col :  5 row : 6 ) score : 3 new tiles : g    Heuristic : -16.5
word : gi anchor( col :  3 row : 8 ) score : 3 new tiles : g    Heuristic : -16.5
word : hi anchor( col :  5 row : 6 ) score : 5 new tiles : h    Heuristic : -12
word : chi anchor( col :  5 row : 6 ) score : 14 new tiles : ch    Heuristic : -1.5
word : rif anchor( col :  5 row : 6 ) score : 13 new tiles : rf    Heuristic : -2
word : qi anchor( col :  5 row : 6 ) score : 11 new tiles : q    Heuristic : 6
word : fiqh anchor( col :  6 row : 6 ) score : 24 new tiles : fih    Heuristic : 8.5
word : ch anchor( col :  7 row : 6 ) score : 18 new tiles : ch    Heuristic : 2.5
word : chi anchor( col :  7 row : 6 ) score : 19 new tiles : chi    Heuristic : 2
word : cry anchor( col :  7 row : 6 ) score : 16 new tiles : cry    Heuristic : 2.5
word : ch anchor( col :  7 row : 6 ) score : 7 new tiles : c    Heuristic : -9
word : ich anchor( col :  7 row : 6 ) score : 8 new tiles : ic    Heuristic : -9.5
word : rich anchor( col :  7 row : 6 ) score : 9 new tiles : ric    Heuristic : -9
word : chi anchor( col :  7 row : 6 ) score : 8 new tiles : ci    Heuristic : -9.5
word : rhy anchor( col :  7 row : 6 ) score : 9 new tiles : ry    Heuristic : -6
word : fiqh anchor( col :  7 row : 6 ) score : 19 new tiles : fiq    Heuristic : 15.5
word : gif anchor( col :  5 row : 8 ) score : 12 new tiles : f    Heuristic : -2.5
word : if anchor( col :  5 row : 8 ) score : 12 new tiles : f    Heuristic : -2.5
word : qi anchor( col :  6 row : 8 ) score : 12 new tiles : i    Heuristic : -7
word : if anchor( col :  7 row : 8 ) score : 14 new tiles : if    Heuristic : -2
word : ich anchor( col :  7 row : 8 ) score : 16 new tiles : ich    Heuristic : -1
word : icy anchor( col :  7 row : 8 ) score : 16 new tiles : icy    Heuristic : 1.5
word : hi anchor( col :  7 row : 8 ) score : 5 new tiles : i    Heuristic : -14
word : hic anchor( col :  7 row : 8 ) score : 8 new tiles : ic    Heuristic : -9.5
word : fiqh anchor( col :  3 row : 9 ) score : 30 new tiles : fih    Heuristic : 14.5
word : qi anchor( col :  5 row : 9 ) score : 13 new tiles : i    Heuristic : -6
word : ch anchor( col :  3 row : 10 ) score : 7 new tiles : c    Heuristic : -9
word : ich anchor( col :  3 row : 10 ) score : 8 new tiles : ic    Heuristic : -9.5
word : rich anchor( col :  3 row : 10 ) score : 9 new tiles : ric    Heuristic : -9
word : chi anchor( col :  3 row : 10 ) score : 8 new tiles : ci    Heuristic : -9.5
word : rhy anchor( col :  3 row : 10 ) score : 9 new tiles : ry    Heuristic : -6
word : fiqh anchor( col :  3 row : 10 ) score : 19 new tiles : fiq    Heuristic : 15.5
word : ch anchor( col :  3 row : 10 ) score : 21 new tiles : ch    Heuristic : 5.5
word : chi anchor( col :  3 row : 10 ) score : 23 new tiles : chi    Heuristic : 6
word : cry anchor( col :  3 row : 10 ) score : 23 new tiles : cry    Heuristic : 9.5
word : hi anchor( col :  5 row : 10 ) score : 5 new tiles : i    Heuristic : -14
word : hic anchor( col :  5 row : 10 ) score : 8 new tiles : ic    Heuristic : -9.5
word : if anchor( col :  5 row : 10 ) score : 10 new tiles : if    Heuristic : -6
word : ich anchor( col :  5 row : 10 ) score : 13 new tiles : ich    Heuristic : -4
word : icy anchor( col :  5 row : 10 ) score : 13 new tiles : icy    Heuristic : -1.5
word : gi anchor( col :  5 row : 6 ) score : 3 new tiles : g    Heuristic : -16.5
word : ki anchor( col :  5 row : 6 ) score : 6 new tiles : k    Heuristic : -13.5
word : cry anchor( col :  7 row : 6 ) score : 16 new tiles : cry    Heuristic : -5.5
word : ch anchor( col :  7 row : 6 ) score : 7 new tiles : c    Heuristic : -17
word : rhy anchor( col :  7 row : 6 ) score : 9 new tiles : ry    Heuristic : -14
word : fy anchor( col :  2 row : 10 ) score : 8 new tiles : y    Heuristic : -14.5
word : fry anchor( col :  2 row : 10 ) score : 9 new tiles : ry    Heuristic : -14
word : gi anchor( col :  7 row : 5 ) score : 11 new tiles : gi    Heuristic : -5
word : ich anchor( col :  7 row : 5 ) score : 8 new tiles : i    Heuristic : -11.5
word : qi anchor( col :  6 row : 8 ) score : 12 new tiles : i    Heuristic : -7.5
word : igg anchor( col :  7 row : 8 ) score : 15 new tiles : igg    Heuristic : 2.5
word : chi anchor( col :  7 row : 8 ) score : 8 new tiles : i    Heuristic : -11.5
word : fig anchor( col :  2 row : 10 ) score : 7 new tiles : ig    Heuristic : -9
word : ghi anchor( col :  3 row : 10 ) score : 17 new tiles : gi    Heuristic : 1
word : hi anchor( col :  5 row : 10 ) score : 10 new tiles : i    Heuristic : -9.5
word : hi anchor( col :  5 row : 10 ) score : 10 new tiles : i    Heuristic : -9.5
word : qi anchor( col :  7 row : 5 ) score : 19 new tiles : qi    Heuristic : 9.5
word : gi anchor( col :  7 row : 5 ) score : 11 new tiles : gi    Heuristic : -7.5
word : ich anchor( col :  7 row : 5 ) score : 8 new tiles : i    Heuristic : -14
word : qi anchor( col :  6 row : 8 ) score : 12 new tiles : i    Heuristic : -10
word : igg anchor( col :  7 row : 8 ) score : 15 new tiles : igg    Heuristic : -1
word : chi anchor( col :  7 row : 8 ) score : 8 new tiles : i    Heuristic : -14
word : hi anchor( col :  6 row : 6 ) score : 12 new tiles : hi    Heuristic : -6.5
word : chi anchor( col :  6 row : 6 ) score : 15 new tiles : chi    Heuristic : -2
word : qi anchor( col :  6 row : 6 ) score : 18 new tiles : qi    Heuristic : 11.5
word : if anchor( col :  6 row : 6 ) score : 6 new tiles : i    Heuristic : -13
word : rif anchor( col :  6 row : 6 ) score : 7 new tiles : ri    Heuristic : -12.5
word : riff anchor( col :  6 row : 6 ) score : 15 new tiles : rif    Heuristic : -1.5
word : iff anchor( col :  6 row : 6 ) score : 14 new tiles : if    Heuristic : -2
word : iffy anchor( col :  6 row : 6 ) score : 18 new tiles : ify    Heuristic : 5
