******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : fwulxth

word : tian anchor( col :  9 row : 8 ) score : 16 new tiles : tian    Heuristic : -3.5
word : tin anchor( col :  9 row : 8 ) score : 14 new tiles : tin    Heuristic : -2.5
word : tina anchor( col :  9 row : 8 ) score : 16 new tiles : tina    Heuristic : -3.5
word : ting anchor( col :  9 row : 8 ) score : 18 new tiles : ting    Heuristic : 4.5
word : tig anchor( col :  9 row : 8 ) score : 15 new tiles : tig    Heuristic : 1
word : gi anchor( col :  9 row : 8 ) score : 15 new tiles : gi    Heuristic : 0
word : giant anchor( col :  9 row : 8 ) score : 19 new tiles : giant    Heuristic : 2.5
word : gin anchor( col :  9 row : 8 ) score : 16 new tiles : gin    Heuristic : 1.5
word : git anchor( col :  9 row : 8 ) score : 16 new tiles : git    Heuristic : 2
word : un anchor( col :  9 row : 8 ) score : 2 new tiles : n    Heuristic : -14
word : unai anchor( col :  9 row : 8 ) score : 6 new tiles : nai    Heuristic : -14.5
word : uni anchor( col :  9 row : 8 ) score : 5 new tiles : ni    Heuristic : -12.5
word : unit anchor( col :  9 row : 8 ) score : 6 new tiles : nit    Heuristic : -10.5
word : unwit anchor( col :  9 row : 8 ) score : 16 new tiles : nwit    Heuristic : 4.5
word : ut anchor( col :  9 row : 8 ) score : 2 new tiles : t    Heuristic : -13.5
word : uta anchor( col :  9 row : 8 ) score : 5 new tiles : ta    Heuristic : -13.5
word : ug anchor( col :  9 row : 8 ) score : 3 new tiles : g    Heuristic : -10.5
word : in anchor( col :  10 row : 8 ) score : 11 new tiles : in    Heuristic : -6.5
word : ing anchor( col :  10 row : 8 ) score : 15 new tiles : ing    Heuristic : 0.5
word : it anchor( col :  10 row : 8 ) score : 11 new tiles : it    Heuristic : -6
word : ita anchor( col :  10 row : 8 ) score : 13 new tiles : ita    Heuristic : -7
word : xi anchor( col :  10 row : 8 ) score : 9 new tiles : i    Heuristic : -9
word : luff anchor( col :  7 row : 6 ) score : 10 new tiles : luf    Heuristic : 0
word : tuff anchor( col :  7 row : 6 ) score : 10 new tiles : tuf    Heuristic : -1
word : huff anchor( col :  7 row : 6 ) score : 13 new tiles : huf    Heuristic : 1.5
word : luff anchor( col :  7 row : 6 ) score : 10 new tiles : luf    Heuristic : 0
word : tuff anchor( col :  7 row : 6 ) score : 10 new tiles : tuf    Heuristic : -1
