******HUMAN TURN******

******HUMAN RESULT******
RACK : ZKHPIE*

HUMAN MOVE : heap , new tiles : hpe* , score : 16 , direction : 2 , col : 7 , row : 11


******COMPUTER TURN******
RACK : avhdopr

word : pard anchor( col :  7 row : 4 ) score : 7 new tiles : par    Heuristic : -7.5
word : ha anchor( col :  7 row : 4 ) score : 12 new tiles : ha    Heuristic : 0
word : pa anchor( col :  7 row : 4 ) score : 10 new tiles : pa    Heuristic : -4
word : ja anchor( col :  7 row : 4 ) score : 20 new tiles : ja    Heuristic : 7.5
word : oup anchor( col :  10 row : 5 ) score : 5 new tiles : p    Heuristic : -6
word : our anchor( col :  10 row : 5 ) score : 3 new tiles : r    Heuristic : -11
word : var anchor( col :  6 row : 6 ) score : 10 new tiles : v    Heuristic : 3
word : par anchor( col :  6 row : 6 ) score : 8 new tiles : p    Heuristic : -3
word : jar anchor( col :  6 row : 6 ) score : 18 new tiles : j    Heuristic : 8.5
word : ah anchor( col :  6 row : 7 ) score : 10 new tiles : a    Heuristic : -6.5
word : aw anchor( col :  6 row : 7 ) score : 10 new tiles : a    Heuristic : -6.5
word : awe anchor( col :  5 row : 8 ) score : 6 new tiles : a    Heuristic : -10.5
word : aa anchor( col :  8 row : 9 ) score : 2 new tiles : a    Heuristic : -14.5
word : ah anchor( col :  8 row : 9 ) score : 5 new tiles : h    Heuristic : -4
word : ar anchor( col :  8 row : 9 ) score : 2 new tiles : r    Heuristic : -12
word : pa anchor( col :  8 row : 10 ) score : 4 new tiles : a    Heuristic : -12.5
word : id anchor( col :  7 row : 4 ) score : 3 new tiles : i    Heuristic : -13.5
word : vid anchor( col :  7 row : 4 ) score : 7 new tiles : vi    Heuristic : -3
word : rid anchor( col :  7 row : 4 ) score : 4 new tiles : ri    Heuristic : -13
word : kid anchor( col :  7 row : 4 ) score : 8 new tiles : ki    Heuristic : -5
word : did anchor( col :  7 row : 4 ) score : 5 new tiles : di    Heuristic : -10.5
