******HUMAN TURN******

******HUMAN RESULT******
RACK : OGGGYNK

HUMAN MOVE : go , score : 6 , direction : 1 , col : 9 , row : 7


******COMPUTER TURN******
RACK : icbbel*

word : lobe anchor( col :  8 row : 6 ) score : 9 new tiles : lobe    Heuristic : 5.5
word : luce anchor( col :  8 row : 6 ) score : 9 new tiles : luce    Heuristic : 3
word : lube anchor( col :  8 row : 6 ) score : 9 new tiles : lube    Heuristic : 5.5
word : lwei anchor( col :  8 row : 6 ) score : 7 new tiles : lwei    Heuristic : -2
word : lye anchor( col :  8 row : 6 ) score : 6 new tiles : lye    Heuristic : -1.5
word : bi anchor( col :  8 row : 6 ) score : 14 new tiles : bi    Heuristic : 9
word : bice anchor( col :  8 row : 6 ) score : 18 new tiles : bice    Heuristic : 8.5
word : bile anchor( col :  8 row : 6 ) score : 16 new tiles : bile    Heuristic : 7
word : be anchor( col :  8 row : 6 ) score : 14 new tiles : be    Heuristic : 4.5
word : bel anchor( col :  8 row : 6 ) score : 15 new tiles : bel    Heuristic : 7.5
word : dice anchor( col :  8 row : 6 ) score : 6 new tiles : dice    Heuristic : -3.5
word : dib anchor( col :  8 row : 6 ) score : 5 new tiles : dib    Heuristic : 4
word : dibble anchor( col :  8 row : 6 ) score : 11 new tiles : dibble    Heuristic : 10.5
word : die anchor( col :  8 row : 6 ) score : 3 new tiles : die    Heuristic : -8
word : diel anchor( col :  8 row : 6 ) score : 4 new tiles : diel    Heuristic : -5
word : de anchor( col :  8 row : 6 ) score : 2 new tiles : de    Heuristic : -7.5
word : dei anchor( col :  8 row : 6 ) score : 3 new tiles : dei    Heuristic : -8
word : deil anchor( col :  8 row : 6 ) score : 4 new tiles : deil    Heuristic : -5
word : deb anchor( col :  8 row : 6 ) score : 5 new tiles : deb    Heuristic : -0.5
word : del anchor( col :  8 row : 6 ) score : 3 new tiles : del    Heuristic : -4.5
word : deli anchor( col :  8 row : 6 ) score : 4 new tiles : deli    Heuristic : -5
word : gib anchor( col :  8 row : 6 ) score : 5 new tiles : gib    Heuristic : 4
word : gibe anchor( col :  8 row : 6 ) score : 6 new tiles : gibe    Heuristic : -1
word : gie anchor( col :  8 row : 6 ) score : 3 new tiles : gie    Heuristic : -8
word : gel anchor( col :  8 row : 6 ) score : 3 new tiles : gel    Heuristic : -4.5
word : glib anchor( col :  8 row : 6 ) score : 6 new tiles : glib    Heuristic : 7
word : hi anchor( col :  8 row : 6 ) score : 2 new tiles : hi    Heuristic : -3
word : hic anchor( col :  8 row : 6 ) score : 5 new tiles : hic    Heuristic : 1.5
word : hie anchor( col :  8 row : 6 ) score : 3 new tiles : hie    Heuristic : -8
word : he anchor( col :  8 row : 6 ) score : 2 new tiles : he    Heuristic : -7.5
word : heil anchor( col :  8 row : 6 ) score : 4 new tiles : heil    Heuristic : -5
word : jib anchor( col :  8 row : 6 ) score : 5 new tiles : jib    Heuristic : 4
word : jibb anchor( col :  8 row : 6 ) score : 8 new tiles : jibb    Heuristic : 11.5
word : jibe anchor( col :  8 row : 6 ) score : 6 new tiles : jibe    Heuristic : -1
word : li anchor( col :  8 row : 6 ) score : 6 new tiles : li    Heuristic : 1
word : lice anchor( col :  8 row : 6 ) score : 10 new tiles : lice    Heuristic : 0.5
word : lib anchor( col :  8 row : 6 ) score : 9 new tiles : lib    Heuristic : 8
word : lie anchor( col :  8 row : 6 ) score : 7 new tiles : lie    Heuristic : -4
word : lei anchor( col :  8 row : 6 ) score : 7 new tiles : lei    Heuristic : -4
