******HUMAN TURN******

******HUMAN RESULT******
RACK : AXQDRZK

HUMAN MOVE : ad , new tiles : ad , score : 6 , direction : 2 , col : 7 , row : 8


******COMPUTER TURN******
RACK : btocge*

word : outbeg anchor( col :  7 row : 5 ) score : 18 new tiles : outbeg    Heuristic : 17.5
word : nong anchor( col :  10 row : 9 ) score : 5 new tiles : g    Heuristic : 1
word : none anchor( col :  10 row : 9 ) score : 4 new tiles : e    Heuristic : -9
word : en anchor( col :  6 row : 5 ) score : 2 new tiles : e    Heuristic : -20.5
word : ben anchor( col :  6 row : 5 ) score : 5 new tiles : be    Heuristic : -13
word : ten anchor( col :  6 row : 5 ) score : 3 new tiles : te    Heuristic : -18.5
word : neb anchor( col :  7 row : 5 ) score : 15 new tiles : neb    Heuristic : 0.5
word : bad anchor( col :  7 row : 5 ) score : 6 new tiles : b    Heuristic : -6
word : tad anchor( col :  7 row : 5 ) score : 4 new tiles : t    Heuristic : -11.5
word : cad anchor( col :  7 row : 5 ) score : 6 new tiles : c    Heuristic : -9
word : ne anchor( col :  11 row : 6 ) score : 2 new tiles : e    Heuristic : -20.5
word : ne anchor( col :  11 row : 8 ) score : 2 new tiles : e    Heuristic : -20.5
word : none anchor( col :  10 row : 9 ) score : 4 new tiles : e    Heuristic : -18.5
word : mo anchor( col :  6 row : 4 ) score : 4 new tiles : m    Heuristic : -12
word : mom anchor( col :  6 row : 4 ) score : 17 new tiles : mm    Heuristic : 4
word : mob anchor( col :  5 row : 5 ) score : 13 new tiles : m    Heuristic : -3
word : ma anchor( col :  6 row : 6 ) score : 14 new tiles : m    Heuristic : -2
word : om anchor( col :  6 row : 6 ) score : 14 new tiles : m    Heuristic : -2
word : am anchor( col :  8 row : 6 ) score : 7 new tiles : m    Heuristic : -9
word : om anchor( col :  5 row : 4 ) score : 4 new tiles : o    Heuristic : 25.5
word : tom anchor( col :  5 row : 4 ) score : 10 new tiles : to    Heuristic : 32.5
word : dom anchor( col :  5 row : 4 ) score : 8 new tiles : do    Heuristic : 5
word : hom anchor( col :  5 row : 4 ) score : 8 new tiles : ho    Heuristic : 5
word : mom anchor( col :  5 row : 4 ) score : 8 new tiles : mo    Heuristic : 5
word : nom anchor( col :  5 row : 4 ) score : 8 new tiles : no    Heuristic : 5
word : oom anchor( col :  5 row : 4 ) score : 8 new tiles : oo    Heuristic : 5
word : pom anchor( col :  5 row : 4 ) score : 8 new tiles : po    Heuristic : 5
word : rom anchor( col :  5 row : 4 ) score : 8 new tiles : ro    Heuristic : 5
word : som anchor( col :  5 row : 4 ) score : 8 new tiles : so    Heuristic : 5
word : tom anchor( col :  5 row : 4 ) score : 10 new tiles : to    Heuristic : 7
word : yom anchor( col :  5 row : 4 ) score : 8 new tiles : yo    Heuristic : 5
word : em anchor( col :  5 row : 4 ) score : 4 new tiles : e    Heuristic : 20
word : am anchor( col :  5 row : 4 ) score : 3 new tiles : a    Heuristic : 0.5
word : em anchor( col :  5 row : 4 ) score : 4 new tiles : e    Heuristic : 1.5
word : hm anchor( col :  5 row : 4 ) score : 3 new tiles : h    Heuristic : 0.5
word : mm anchor( col :  5 row : 4 ) score : 3 new tiles : m    Heuristic : 0.5
word : om anchor( col :  5 row : 4 ) score : 4 new tiles : o    Heuristic : 1.5
word : um anchor( col :  5 row : 4 ) score : 3 new tiles : u    Heuristic : 0.5
word : bob anchor( col :  5 row : 5 ) score : 13 new tiles : b    Heuristic : 39.5
word : cob anchor( col :  5 row : 5 ) score : 13 new tiles : c    Heuristic : 36.5
word : gob anchor( col :  5 row : 5 ) score : 10 new tiles : g    Heuristic : 35
word : bob anchor( col :  5 row : 5 ) score : 13 new tiles : b    Heuristic : 10.5
word : cob anchor( col :  5 row : 5 ) score : 13 new tiles : c    Heuristic : 10.5
word : dob anchor( col :  5 row : 5 ) score : 4 new tiles : d    Heuristic : 1.5
word : fob anchor( col :  5 row : 5 ) score : 4 new tiles : f    Heuristic : 1.5
word : gob anchor( col :  5 row : 5 ) score : 10 new tiles : g    Heuristic : 7.5
word : hob anchor( col :  5 row : 5 ) score : 4 new tiles : h    Heuristic : 1.5
word : job anchor( col :  5 row : 5 ) score : 4 new tiles : j    Heuristic : 1.5
word : kob anchor( col :  5 row : 5 ) score : 4 new tiles : k    Heuristic : 1.5
word : lob anchor( col :  5 row : 5 ) score : 4 new tiles : l    Heuristic : 1.5
word : mob anchor( col :  5 row : 5 ) score : 4 new tiles : m    Heuristic : 1.5
word : nob anchor( col :  5 row : 5 ) score : 4 new tiles : n    Heuristic : 1.5
word : rob anchor( col :  5 row : 5 ) score : 4 new tiles : r    Heuristic : 1.5
word : sob anchor( col :  5 row : 5 ) score : 4 new tiles : s    Heuristic : 1.5
word : yob anchor( col :  5 row : 5 ) score : 4 new tiles : y    Heuristic : 1.5
word : obo anchor( col :  8 row : 5 ) score : 5 new tiles : o    Heuristic : 26.5
word : obe anchor( col :  8 row : 5 ) score : 5 new tiles : e    Heuristic : 21
word : oba anchor( col :  8 row : 5 ) score : 4 new tiles : a    Heuristic : 1.5
word : obe anchor( col :  8 row : 5 ) score : 5 new tiles : e    Heuristic : 2.5
word : obi anchor( col :  8 row : 5 ) score : 4 new tiles : i    Heuristic : 1.5
word : obo anchor( col :  8 row : 5 ) score : 5 new tiles : o    Heuristic : 2.5
word : obs anchor( col :  8 row : 5 ) score : 4 new tiles : s    Heuristic : 1.5
word : ama anchor( col :  5 row : 6 ) score : 4 new tiles : a    Heuristic : 1.5
word : sma anchor( col :  5 row : 6 ) score : 4 new tiles : s    Heuristic : 1.5
word : mat anchor( col :  8 row : 6 ) score : 6 new tiles : t    Heuristic : 29
word : mac anchor( col :  8 row : 6 ) score : 10 new tiles : c    Heuristic : 33.5
word : mag anchor( col :  8 row : 6 ) score : 8 new tiles : g    Heuristic : 33
word : mae anchor( col :  8 row : 6 ) score : 6 new tiles : e    Heuristic : 22
word : maa anchor( col :  8 row : 6 ) score : 4 new tiles : a    Heuristic : 1.5
word : mac anchor( col :  8 row : 6 ) score : 10 new tiles : c    Heuristic : 7.5
word : mad anchor( col :  8 row : 6 ) score : 4 new tiles : d    Heuristic : 1.5
